PLU,ARTICLE,ARTICLE DESCRIPTION,PRICE
2,1418834,TEA CULTURE SOOTHING AMBER KG,2000
3,1418835,TEA CULTURE APPLE OOLONG LOOSE TEA,1740
6,1418836,TEA CULTURE CUCUMBER COOLER,2510
8,1364277,APPLE FUJI,499
9,1365258,ALOE VERA,139
10,1030393,APPLE GRANNY SMITH KG,429
11,1418837,TEA CULTURE DARJELING FIRSTFLUSH LOOSTEA,2450
12,1365174,APPLE KINNAUR,379
13,1019919,APPLE PACIFIC ROSE,579
14,1364239,APPLE RED DELICIOUS WASHINGTON,499
15,1418838,TEA CULTURE DIMBULA CEYLON LOOSE TEA,3390
18,1365395,ARTICHOK IMPORTED,2499
19,1418839,TEA CULTURE LYCHEE LOOSE TEA,1380
20,1365271,LETTUCE AURUGULA IMPORTED,3999
21,1365251,ARVI,119
22,1418840,TEA CULTURE MILK OOLONG LOOSE TEA,2870
23,1365228,ASPARAGUS THAI,1699
24,1365214,ASPARAGUS GREEN JUMBO IMPORTED,3499
25,1365219,ASPARAGUS GREEN INDIAN,899
26,1365292,ASPARAGUS WHITE IMPORTED,4199
28,1418841,TEA CULTURE MINTY LEMON LOOSE TEA,1380
30,1365241,AWLA,179
31,1418842,TEA CULTURE MINTY TREAT LOOSE TEA,1330
32,1418843,TEA CULTURE NURSING LOOSE TEA,1520
33,1418844,TEA CULTURE RISHEEHAT LYCHEE LOOSE TEA,3360
35,1418845,TEA CULTURE WILDBERRY TALES LOOSE TEA,1690
36,1365173,SPINACH BABY,899
40,1365198,CABBAGE 1 PC PK NB,45
41,1418846,TEA CULTURE YERBAMATE LOOSE TEA,4040
42,1334267,BANANA RAW,79
43,1000829,BASIL,799
44,1365163,BANANA GOLDEN,69
45,1365160,CAPSICUM RED,249
46,1365167,CAPSICUM YELLOW,249
47,1418847,TEA CULTURE ACQUA CADDIES 100G,1410
54,1365157,CAULIFLOWER 1 PC PK NB,65
55,1365218,BEET ROOT,89
57,1418848,Tea Culture Apple Cinnamon loose Tea,1370
58,1418849,TEA CULTURE ASSAM CTC LOOSE TEA,2000
59,1368405,CHILLY BIRD RED IMPORTED,1599
60,1418850,Tea Culture Assam leaf loose Tea,1250
63,1365189,BRINJAL BHARTA,109
64,1418851,Tea Culture Blooming loose Tea,2600
66,1418852,TEA CULTURE BREWERS BAG ASSORTED 20TB,549
68,1365246,BRINJAL KATERI,119
69,1418853,Tea Culture Calming Chamomile loose Tea,1370
70,1418855,TEA CULTURE CARDAMOM CLASSIC LOOSE TEA,9200
71,1365257,SPROUTS CHANA BROWN 200G,49
72,1418856,Tea Culture Cardamom CTC loose Tea,2500
73,1418857,TEA CULTURE CASTLETON LOOSE TEA,2060
74,1418858,Tea Culture Chocolate Mint Grn looseTea,1410
75,1418859,TEA CULTURE CHRISTMAS TEA LOOSE TEA,1230
76,1418860,TEA CULTURE CHRYSANTHEMUM TEA LOOSE TEA,2180
77,1418861,TEA CULTURE CLEANSING LOOSE TEA,1440
